Ward No,Ward Name ,Current corporator Name,Party,Winner's votes,1st runner up,Party,Votes,Victory margin,Past corporator Name,Party
140,Chamarajpete,B Kokila Chandrashekhar,INC,5417,Komal M Ganesh,BJP,4477,940,B.V Ganesh,BJP
141,Azad Nagar,M Sujatha,INC,8466,Mustharl Begum,JDS,5995,2471,Gowramma,INC
142,Sunkenahalli,DN Ramesh,BJP,8315,B S Kiran Kumar,INC,5894,2421,P. N. Sadashiva,BJP
143,Vishweshwarapuram,Vani Rao,BJP,7192,S Vijayakumari,INC,4537,2655,S. Anil Kumar,BJP
144,Siddapura,Muzahid Pasha,SDPI,5536,M Udayashankar,INC,5151,385,M. Udayshankar,INC
145,Hombegowda Nagar,D Chandrappa,INC,6865,Suresh Babu,BJP,5797,1068,D. Chandrappa,Independent
146,Lakkasandra,Mahesh Babu,BJP,6717,B Mohan,INC,5437,1280,K. Mahesh Babu,BJP
147,Adugodi,Manjula,INC,7247,Janakamma,BJP,5276,1971,S.N. Murugesh Modaliyaar,INC
148,Ejipura,T Ramachandra,INC,8098,Y Shantaraju,BJP,6047,2051,P.M Saroja,INC
149,Varthur,Pushpa Manjunath,BJP,13055,Nisha S Vasu,INC,11090,1965,S. UdayKumar,INC
150,Bellandur,N Asha Suresh,BJP,15119,Munilakshmamamma,INC,7428,7691,B.P. Babu Reddy,INC
151,Koramangala,M Chandrappa,INC,7373,H M Govindaraju,BJP,5755,1618,B.N. Kokila,INC
152,Suddugunte Palya,G Manjunath,INC,6200,M Kodandarama,Independent,4805,1395,G. Manjunath,BJP
153,Jayanagar,Gangambike Mallikarjun,INC,10143,Kavitha Jain,BJP,3173,6970,Gangambika,INC
154,Basavanagudi,B S Satyanarayana,BJP,8798,G R Murali,INC,5412,3386,B.S. Sathyanarayana,BJP
155,Hanumathnagar,Kempegowda,BJP,6592,Prasad P V S,JDS,3945,2647,K. Chandrashekar,INC
156,Srinagar,J M Savitha,BJP,6814,Nagarathna Thimmegowda,JDS,6442,372,T. Thimmegowda,JDS
157,Gali Anjaneya Temple,Uma N,INC,6663,Vedha Ramesh,BJP,4518,2145,B.S. Anand,BJP
158,Deepanjali Nagar,Anupama Dharmapal,BJP,7227,G Anasuya,INC,5725,1502,Malathi,BJP
159,Kengeri,BV Satyanaraya,BJP,11528,Harish Kumar M,INC,7832,3696,R. Anjanappa,BJP
160,Rajarajeshwari Nagar,Nalini Manjunath,BJP,17968,Mamatha H V ,INC,7751,10217,G.H.Ramachandra,BJP
161,Hosakerehalli,Rajeshwarai Cholraj,BJP,9460,Chaitra S Jagadish,JDS,7218,2242,H. Narayana,BJP
162,Girinagar,A V Nandini Vijay Vittal,BJP,10984,Bhavya Hnaumanthegowda,JDS,3927,7057,H.S. Lalitha (deceased),BJP
163,Kathriguppe,Sangathi Venkatesh,BJP,10795,N Chuchendra Kumar,INC,2455,8340,D. Venkatesha Murthy,BJP
164,VidyaPeeta Ward,Shamala Saikumar,BJP,10539,Kathyayini,INC,3434,7105,M. Venkatesh,BJP
165,Ganesh Mandira,D H Lakshmi ,BJP,5344,Nagarathna ,JDS,4488,856,L. Govindraj,INC
166,Karisandra,Yashoda Lakshmikanth,BJP,6226,Jyothishree Hari Reddy,INC,5464,762,Jyothisri Hari Reddy,INC
167,Yadiyur,Poornima Ramesh,BJP,10906,Lakshmi P,INC,2722,8184,N. R. Ramesh,BJP
168,Pattabhirama Nagar,H C Nagarathna Murthy,BJP,8032,Lakshmi Chandrashekhar Raju,INC,2635,5397,C. K. Ramamurthy,BJP
169,Byrasandra,N Nagaraju,BJP,6985,A Mohd Rasool,INC,3872,3113,N. Nagaraju,BJP
170,Jayanagar East,R Govinda Naidu,BJP,5468,Samuilla,INC,4757,711,Muni Sanjeevayya,INC
171,Gurappanapalya,Mohammad Rizwan Nawab,INC,12674,Zameer Pasha,JDS,5279,7395,Mohammad Rizwan Navab,INC
172,Madiwala,B N Manjunath Reddy,INC,6573,N Babu,BJP,5398,1175,B.N. Manjunath Reddy,INC
173,Jakkasandra,Saraswathamma,BJP,6566,Lakshmi R,INC,5357,1209,Saraswathamma,BJP
174,HSRLayout,Gurumurthy Reddy,BJP,13854,K Ramesh,INC,7886,5968,Smt.K. Latha,BJP
175,Bommanahalli,C R Rajmohan Raju,BJP,10910,Syed Sardar,INC,7660,3250,B.S. Manjunath Reddy,BJP
176,B.T.M.Layout,K Devadas,JDS,5773,H K Mutthappa,BJP,5390,383,G.N.R. Babu,INC
177,J.P Nagar,K N Lakshmi Nataraj,BJP,6854,Asha,INC,3865,2989,N. Chandrashekar Raju,BJP
178,Sarakki,Deepika Manjunatha Reddy,BJP,7068,Manjula Arun Kumar,INC,4414,2654,S.K. Nataraj,BJP
179,Shakambari Nagar,M Malathi,BJP,6904,Anuradha Devaraju,INC,319,6585,B. Somashekar,BJP
180,Banashankari Temple Ward,S Ansar Pasha,INC,10998,H Basavaraj,BJP,7236,3762,"Basavaraj AH 
replaced Deewan Ali - JDS; deceased",BJP
181,Kumaraswamy Layout,L Srinivas,BJP,9670,T Pramod Kumar,INC,4611,5059,H. Suresh,BJP
182,Padmanabhanagar,L Shobha Anjanappa,BJP,8500,V B Triveni Babu,JDS,4040,4460,L. Srinivas,BJP
183,Chikkakallasandra,Supriya Shekhar,BJP,8328,G Kavitha,JDS,7242,1086,B. S. Venkataswamy Naidu,BJP
184,Uttarahalli,Hanumantaiah',BJP,17446,Varaprasad Reddy,INC,10009,7437,K.Ramesh Raju,BJP
185,Yelachenahalli,V Balakrishna,BJP,7754,O Manjunath,INC,7561,193,O. Manjunath,INC
186,Jaraganahalli,B M Shobha,BJP,8466,Vinitha G,INC,6214,2252,Suguna Balakrishna,BJP
187,Puttenahalli,R Prabhavati Ramesh,BJP,12025,Susheela Gurudev,INC,8365,3660,L. Ramesh,BJP
188,Bilekahalli,K Narayan Raju,BJP,9820,Ashwathnarayana Swami,INC,9002,818,M. Roopa Ramesh,BJP
189,Hongasandra,Bharathi Ramachandra,BJP,Elected unopposed,n/a,n/a,n/a,n/a,Sukanda,BJP
190,Mangammana Palya,Shobha Jagadish,INC,14439,Mala Srinivas Reddy,BJP,11457,2982,Syed Haseena Taj,BJP
191,Singasandra,V Shantha,BJP,15276,Vanitha Venkataswamy,INC,11719,3557,Kavitha Baburaj,INC
192,Begur,M Anjinappa,INC,15004,C Srinivas,BJP,13129,1875,M Srinivas,JDS
193,Arakere,Bhagyalakshmi,BJP,13867,Uma Srinivas Reddy,INC,7030,6837,A.N. Purushotham,BJP
194,Gottigere,Lalitha T Narayan,BJP,10461,Radha M,INC,8427,2034,S.K. Pushpa,INC
195,Konanakunte,Shashirekha Jayaram,BJP,12179,Chamapaka K,INC,8040,4139,S. Shashirekha Jayaram,BJP
196,Anajanapura,K Somashekhar,BJP,10057,Gangadhar,INC,8989,1068,S. Gangadhar,INC
197,Vasanthapura,Shobha Gowda,INC,13593,A Vijaya Ramesh,BJP,11444,2149,A. Vijaya,BJP
198,Hemmigepura,Arya Srinivas,INC,9876,G H Ramachandra,BJP,8743,1133,Veena Nagaraju,BJP
